,X1,Provider Name,DBA Name,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
1391,1391,"ViaSat, Inc.",Viasat Inc,TN,471550807001047,60,1,100,3,1
1392,1392,GCI Communication Corp.,GCI Communication Corp.,MS,280239501004017,60,0,0,0,1
1393,1393,"HNS License Sub, LLC",HughesNet,MA,250277443001016,60,1,25,3,1
1394,1394,Indiana Bell Telephone Company,AT&T Indiana,IN,180973571004008,10,1,6,0.512,0
1395,1395,Suddenlink Communications,Suddenlink Communications,OK,400470006001028,43,1,1000,50,1
1396,1396,"VSAT Systems, LLC",Skycasters,CA,060379009001113,60,1,2,1.3,1
1397,1397,"New Ulm Telecom, Inc.",NU-Telecom,MN,271034801003029,30,0,0,0,1
1398,1398,"ViaSat, Inc.",Viasat Inc,MN,270190910004027,60,1,100,3,1
1399,1399,MINNESOTA VALLEY TELEVISION IMPROVEMENT CORPORATION  DBA =,MVTV Wireless,MN,271519601002222,70,1,50,10,1
1400,1400,"VSAT Systems, LLC",Skycasters,LA,220450301003052,60,1,2,1.3,1
1401,1401,"VSAT Systems, LLC",Skycasters,TX,482015505002003,60,1,2,1.3,1
1402,1402,GCI Communication Corp.,GCI Communication Corp.,IA,191315602004096,60,0,0,0,1
1403,1403,"ViaSat, Inc.",Viasat Inc,VA,518100430041046,60,1,100,3,1
1404,1404,"VSAT Systems, LLC",Skycasters,IL,170438462031014,60,1,2,1.3,1
1405,1405,"VSAT Systems, LLC",Skycasters,TX,482917014006210,60,1,2,1.3,1
1406,1406,"CenturyLink, Inc.",CenturyLink,UT,490211102001083,50,1,12,0.896,1
1407,1407,"ViaSat, Inc.",Viasat Inc,MD,240338035092021,60,1,100,3,1
1408,1408,"VSAT Systems, LLC",Skycasters,TX,484530018511004,60,1,2,1.3,1
1409,1409,unWired Broadband Inc,unWired Broadband Inc,CA,061070022041035,70,1,30,7,1
1410,1410,GCI Communication Corp.,GCI Communication Corp.,OR,410639601001827,60,0,0,0,1
1411,1411,"HNS License Sub, LLC",HughesNet,IL,170579532004095,60,1,25,3,1
1412,1412,unWired Broadband Inc,unWired Broadband Inc,CA,060770005002019,70,1,30,7,1
1413,1413,GCI Communication Corp.,GCI Communication Corp.,AR,050279503002102,60,0,0,0,1
1414,1414,Michigan Bell Telephone Company,AT&T Michigan,MI,261614320001022,11,1,0.768,0.128,0
1415,1415,"HNS License Sub, LLC",HughesNet,FL,120710208001025,60,1,25,3,1
1416,1416,"BellSouth Telecommunications, Inc.",AT&T South Carolina,SC,450790117021034,12,1,100,20,0
1417,1417,"HNS License Sub, LLC",HughesNet,NE,310679651001008,60,1,25,3,1
1418,1418,"VSAT Systems, LLC",Skycasters,TX,480913105012065,60,1,2,1.3,1
1419,1419,"Charter Communications, Inc.",Charter Communications Inc,HI,150070401042026,43,1,940,35,1
1420,1420,"Level  3 Communications, LLC",CenturyLink,WA,530530724084000,50,0,0,0,1
1421,1421,GCI Communication Corp.,GCI Communication Corp.,MA,250010121023007,60,0,0,0,1
1422,1422,"VSAT Systems, LLC",Skycasters,FL,120174514003020,60,1,2,1.3,1
1423,1423,"ViaSat, Inc.",Viasat Inc,KS,201690011004148,60,1,35,3,1
1424,1424,"ViaSat, Inc.",Viasat Inc,AL,010030109062018,60,1,35,3,1
1425,1425,"HNS License Sub, LLC",HughesNet,CA,060650430101008,60,1,25,3,1
1426,1426,"HNS License Sub, LLC",HughesNet,HI,150090303011027,60,1,2,0.2,1
1427,1427,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,TX,482419505001054,11,1,6,0.512,0
1428,1428,"VSAT Systems, LLC",Skycasters,TX,480396643004009,60,1,2,1.3,1
1429,1429,"HNS License Sub, LLC",HughesNet,TX,482012404002001,60,1,25,3,1
1430,1430,"HNS License Sub, LLC",HughesNet,NM,350379586024077,60,1,25,3,1
1431,1431,"HNS License Sub, LLC",HughesNet,FL,120860082063041,60,1,25,3,1
1432,1432,"HNS License Sub, LLC",HughesNet,NY,360650230001022,60,1,25,3,1
1433,1433,"VSAT Systems, LLC",Skycasters,FL,120950124011020,60,1,2,1.3,1
1434,1434,GCI Communication Corp.,GCI Communication Corp.,TX,483199502002034,60,0,0,0,1
1435,1435,"VSAT Systems, LLC",Skycasters,ND,380519729001140,60,1,2,1.3,1
1436,1436,"HNS License Sub, LLC",HughesNet,FL,121199115002090,60,1,25,3,1
1437,1437,"VSAT Systems, LLC",Skycasters,MS,280539503002074,60,1,2,1.3,1
1438,1438,GCI Communication Corp.,GCI Communication Corp.,FL,120570139132066,60,0,0,0,1
1439,1439,"Charter Communications, Inc.",Charter Communications Inc,CA,060590762011012,43,1,940,35,1
1440,1440,"ViaSat, Inc.",Viasat Inc,CA,060590878053016,60,1,35,3,1
1441,1441,"CenturyLink, Inc.",CenturyLink,OR,410510010002034,12,1,100,10,1
1442,1442,GCI Communication Corp.,GCI Communication Corp.,NY,360010146072011,60,0,0,0,1
1443,1443,D&P Communications,D&P Communications,MI,260910607002025,70,1,8,2,1
